exerciseName,exerciseType,date,time,setNumber,valueRight,valueLeft,comment
Push-up,Dynamic,2025-11-20,10:00,1,12,,Morning workout
Push-up,Dynamic,2025-11-20,10:00,2,11,,Morning workout
Push-up,Dynamic,2025-11-20,10:00,3,10,,Morning workout
Push-up,Dynamic,2025-11-21,09:30,1,13,,Felt stronger today
Push-up,Dynamic,2025-11-21,09:30,2,12,,Felt stronger today
Push-up,Dynamic,2025-11-21,09:30,3,11,,Felt stronger today
One-Arm Push-up,Dynamic,2025-11-20,10:15,1,6,5,Right side stronger
One-Arm Push-up,Dynamic,2025-11-20,10:15,2,5,4,Right side stronger
Plank,Isometric,2025-11-20,10:30,1,35,,Good form
Plank,Isometric,2025-11-20,10:30,2,32,,Good form
Plank,Isometric,2025-11-20,10:30,3,30,,Good form
Squat,Dynamic,2025-11-22,08:00,1,20,,No group example